74,57,108,57,108,69,74,69
70,103,433,101,433,163,70,165
79,180,223,178,224,238,80,240
98,249,166,249,166,278,98,278
76,252,90,252,90,273,76,273
172,250,196,250,196,274,172,274
74,278,197,277,197,303,74,304
74,304,200,307,199,335,74,333
93,346,136,346,136,364,93,364
138,346,214,346,214,362,138,362
78,348,89,348,89,361,78,361
100,365,240,366,239,384,99,382
78,368,96,368,96,382,78,382
78,387,194,386,194,402,78,404
78,406,160,408,159,425,78,423
77,428,100,428,100,444,77,444
102,428,162,428,162,446,102,446
108,448,173,448,173,468,108,468
77,449,106,449,106,465,77,465
174,452,185,452,185,464,174,464
78,469,98,469,98,485,78,485
104,469,148,469,148,486,104,486
150,470,241,467,241,483,150,487
112,490,134,490,134,505,112,505
137,490,192,490,192,506,137,506
78,492,109,492,109,505,78,505
196,492,216,492,216,504,196,504
190,508,241,509,241,525,190,523
78,510,154,510,154,526,78,526
160,513,182,513,182,525,160,525
114,529,201,528,201,547,114,549
78,530,109,530,109,545,78,545
77,550,124,552,123,567,76,565
82,593,250,591,250,627,82,629
82,637,262,634,263,671,82,674
205,697,256,697,256,710,205,710
260,697,294,697,294,709,260,709
128,698,192,698,192,710,128,710
