460,192,566,192,566,209,460,209
442,208,517,210,517,226,442,225
545,209,584,209,584,225,545,225
519,211,545,211,545,225,519,225
451,228,482,228,482,241,451,241
482,228,506,228,506,241,482,241
508,228,555,228,555,241,508,241
555,228,572,228,572,241,555,241
442,246,505,246,505,260,442,260
505,246,534,246,534,260,505,260
534,246,586,246,586,260,534,260
424,263,470,263,470,277,424,277
470,263,497,263,497,277,470,277
497,263,531,263,531,277,497,277
529,263,601,263,601,278,529,278
223,271,255,271,255,284,223,284
199,272,223,272,223,287,199,287
493,280,529,280,529,295,493,295
529,280,597,280,597,295,529,295
428,281,451,281,451,295,428,295
450,283,460,283,460,294,450,294
462,284,471,284,471,295,462,295
473,284,494,284,494,295,473,295
159,287,257,287,257,304,159,304
257,287,284,287,284,303,257,303
445,298,471,298,471,312,445,312
471,298,496,298,496,312,471,312
496,298,539,298,539,312,496,312
537,298,555,298,555,312,537,312
555,298,580,298,580,312,555,312
145,306,186,306,186,320,145,320
226,306,297,306,297,323,226,323
186,307,206,307,206,321,186,321
208,307,226,307,226,320,208,320
442,315,497,315,497,329,442,329
497,315,528,315,528,330,497,330
529,316,557,316,557,329,529,329
558,316,586,316,586,330,558,330
157,323,199,323,199,338,157,338
199,323,243,323,243,338,199,338
243,323,260,323,260,336,243,336
260,323,286,323,286,336,260,336
558,332,588,332,588,347,558,347
439,333,558,333,558,349,439,349
150,341,188,341,188,355,150,355
188,341,231,341,231,355,188,355
231,341,264,341,264,355,231,355
263,341,280,341,280,355,263,355
283,344,292,344,292,355,283,355
441,350,470,350,470,365,441,365
470,350,496,350,496,364,470,364
496,350,531,350,531,364,496,364
534,353,560,353,560,364,534,364
561,353,584,353,584,364,561,364
144,359,221,356,222,373,145,375
222,358,281,358,281,375,222,375
281,361,298,361,298,372,281,372
463,370,519,368,519,382,463,384
519,369,535,369,535,382,519,382
535,369,561,369,561,382,535,382
180,376,206,376,206,392,180,392
205,376,261,376,261,390,205,390
490,385,534,385,534,399,490,399
196,427,254,427,254,442,196,442
471,433,557,436,557,456,471,453
194,440,277,442,277,457,194,455
506,451,580,451,580,473,506,473
194,453,248,453,248,470,194,470
246,453,320,453,320,470,246,470
470,453,505,453,505,470,470,470
194,467,275,467,275,483,194,483
471,470,508,470,508,490,471,490
192,482,254,482,254,497,192,497
572,699,719,698,720,734,572,736
